"stationName","lineName","operatorName","stationCode","externalCode","branchKey","destinationName","displayLabel","previousStation","nextStation","priority","isActive","note","searchTokens"
"구로","1호선","코레일","1701","141","1호선-경부본선","소요산행","구로역 1호선 소요산행","신도림","가산디지털단지","1","true","상행 본선 방향","1호선|1호선역|구로|구로역|구로역 1호선 소요산|구로역 1호선 소요산행|구로역 1호선 소요산행역|소요산|소요산행|소요산행역"
"구로","1호선","코레일","1701","141","1호선-인천지선","인천행","구로역 1호선 인천행","신도림","가산디지털단지","1","true","인천 방면 분기","1호선|1호선역|구로|구로역|구로역 1호선 인천|구로역 1호선 인천행|구로역 1호선 인천행역|인천|인천행|인천행역"
"구로","1호선","코레일","1701","141","1호선-광명지선","광명행","구로역 1호선 광명행","신도림","가산디지털단지","2","true","광명 셔틀 분기","1호선|1호선역|광명|광명행|광명행역|구로|구로역|구로역 1호선 광명|구로역 1호선 광명행|구로역 1호선 광명행역"
"구로","1호선","코레일","1701","141","1호선-경부본선","연천행","구로역 1호선 연천행","신도림","가산디지털단지","2","true","상행 연장 구간 포함","1호선|1호선역|구로|구로역|구로역 1호선 연천|구로역 1호선 연천행|구로역 1호선 연천행역|연천|연천행|연천행역"
"금천구청","1호선","코레일","1703","P144","1호선-경부본선","신창행","금천구청역 1호선 신창행","독산","오류동","1","true","하행 본선 방향","1호선|1호선역|금천구청|금천구청역|금천구청역 1호선 신창|금천구청역 1호선 신창행|금천구청역 1호선 신창행역|신창|신창행|신창행역"
"금천구청","1호선","코레일","1703","P144","1호선-광명지선","광명행","금천구청역 1호선 광명행","독산","오류동","2","true","광명 지선 분기","1호선|1호선역|광명|광명행|광명행역|금천구청|금천구청역|금천구청역 1호선 광명|금천구청역 1호선 광명행|금천구청역 1호선 광명행역"
"병점","1호선","코레일","1716","P157","1호선-경부본선","신창행","병점역 1호선 신창행","도화","서동탄","1","true","천안 신창 방면","1호선|1호선역|병점|병점역|병점역 1호선 신창|병점역 1호선 신창행|병점역 1호선 신창행역|신창|신창행|신창행역"
"병점","1호선","코레일","1716","P157","1호선-서동탄지선","서동탄행","병점역 1호선 서동탄행","도화","서동탄","2","true","서동탄 지선 분기","1호선|1호선역|병점|병점역|병점역 1호선 서동탄|병점역 1호선 서동탄행|병점역 1호선 서동탄행역|서동탄|서동탄행|서동탄행역"
"까치산","2호선","서울교통공사","0200","234-4","2호선-신정지선","신도림행","까치산역 2호선 신도림행","신정네거리","신림","1","true","신정지선 말단","2호선|2호선역|까치산|까치산역|까치산역 2호선 신도림|까치산역 2호선 신도림행|까치산역 2호선 신도림행역|신도림|신도림행|신도림행역"
"도림천","2호선","서울교통공사","0247","234-1","2호선-신정지선","신도림행","도림천역 2호선 신도림행","대림(구로구청)","구로디지털단지","1","true","신정지선 복귀","2호선|2호선역|도림천|도림천역|도림천역 2호선 신도림|도림천역 2호선 신도림행|도림천역 2호선 신도림행역|신도림|신도림행|신도림행역"
