"권역","권역명","철도운영기관명","노선명","정규노선명","순번","역명","이전역","다음역","전철역코드","외부코드"
"01","수도권","코레일","1호선","1호선","1","연천","","전곡","1919","100-3"
"01","수도권","코레일","1호선","1호선","2","전곡","연천","청산","1918","100-2"
"01","수도권","코레일","1호선","1호선","3","청산","전곡","소요산","1917","100-1"
"01","수도권","코레일","1호선","1호선","4","소요산","청산","동두천","1916","100"
"01","수도권","코레일","1호선","1호선","5","동두천","소요산","보산","1915","101"
"01","수도권","코레일","1호선","1호선","6","보산","동두천","동두천중앙","1914","102"
"01","수도권","코레일","1호선","1호선","7","동두천중앙","보산","지행","1913","103"
"01","수도권","코레일","1호선","1호선","8","지행","동두천중앙","덕정","1912","104"
"01","수도권","코레일","1호선","1호선","9","덕정","지행","덕계","1911","105"
"01","수도권","코레일","1호선","1호선","10","덕계","덕정","양주","1910","106"
"01","수도권","코레일","1호선","1호선","11","양주","덕계","녹양","1909","107"
"01","수도권","코레일","1호선","1호선","12","녹양","양주","가능","1908","108"
"01","수도권","코레일","1호선","1호선","13","가능","녹양","의정부","1907","109"
"01","수도권","코레일","1호선","1호선","14","의정부","가능","회룡","1906","110"
"01","수도권","코레일","1호선","1호선","15","회룡","의정부","망월사","1905","111"
"01","수도권","코레일","1호선","1호선","16","망월사","회룡","도봉산","1904","112"
"01","수도권","코레일","1호선","1호선","17","도봉산","망월사","도봉","1903","113"
"01","수도권","코레일","1호선","1호선","18","도봉","도봉산","방학","1902","114"
"01","수도권","코레일","1호선","1호선","19","방학","도봉","창동","1901","115"
"01","수도권","코레일","1호선","1호선","20","창동","방학","녹천","1022","116"
"01","수도권","코레일","1호선","1호선","21","녹천","창동","월계","1021","117"
"01","수도권","코레일","1호선","1호선","22","월계","녹천","광운대","1020","118"
"01","수도권","코레일","1호선","1호선","23","광운대","월계","석계","1019","119"
"01","수도권","코레일","1호선","1호선","24","석계","광운대","신이문","1018","120"
"01","수도권","코레일","1호선","1호선","25","신이문","석계","외대앞","1017","121"
"01","수도권","코레일","1호선","1호선","26","외대앞","신이문","회기","1016","122"
"01","수도권","코레일","1호선","1호선","27","회기","외대앞","청량리(서울시립대입구)","1015","123"
"01","수도권","서울교통공사","1호선","1호선","28","청량리(서울시립대입구)","회기","제기동","",""
"01","수도권","서울교통공사","1호선","1호선","29","제기동","청량리(서울시립대입구)","신설동","0157","125"
"01","수도권","서울교통공사","1호선","1호선","30","신설동","제기동","동묘앞","0156","126"
"01","수도권","서울교통공사","1호선","1호선","31","동묘앞","신설동","동대문","0159","127"
"01","수도권","서울교통공사","1호선","1호선","32","동대문","동묘앞","종로5가","0155","128"
"01","수도권","서울교통공사","1호선","1호선","33","종로5가","동대문","종로3가","0154","129"
"01","수도권","서울교통공사","1호선","1호선","34","종로3가","종로5가","종각","0153","130"
"01","수도권","서울교통공사","1호선","1호선","35","종각","종로3가","시청","0152","131"
"01","수도권","서울교통공사","1호선","1호선","36","시청","종각","서울역","0151","132"
"01","수도권","서울교통공사","1호선","1호선","37","서울역","시청","남영","0150","133"
"01","수도권","코레일","1호선","1호선","38","남영","서울역","용산","1002","134"
"01","수도권","코레일","1호선","1호선","39","용산","남영","노량진","1003","135"
"01","수도권","코레일","1호선","1호선","40","노량진","용산","대방","1004","136"
"01","수도권","코레일","1호선","1호선","41","대방","노량진","신길","1005","137"
"01","수도권","코레일","1호선","1호선","42","신길","대방","영등포","1032","138"
"01","수도권","코레일","1호선","1호선","43","영등포","신길","신도림","1006","139"
"01","수도권","코레일","1호선","1호선","44","신도림","영등포","구로","1007","140"
"01","수도권","코레일","1호선","1호선","45","구로","신도림","가산디지털단지","1701","141"
"01","수도권","코레일","1호선","1호선","46","가산디지털단지","구로","구일","1702","P142"
"01","수도권","코레일","1호선","1호선","46","구일","가산디지털단지","개봉","1813","142"
"01","수도권","코레일","1호선","1호선","47","개봉","구일","독산","1801","143"
"01","수도권","코레일","1호선","1호선","47","독산","개봉","금천구청","1714","P143"
"01","수도권","코레일","1호선","1호선","48","금천구청","독산","오류동","1703","P144"
"01","수도권","코레일","1호선","1호선","48","오류동","금천구청","광명","1802","144"
"01","수도권","코레일","1호선","1호선","49","광명","오류동","석수","1750","P144-1"
"01","수도권","코레일","1호선","1호선","49","석수","광명","온수","1704","P145"
"01","수도권","코레일","1호선","1호선","49","온수","석수","관악","1821","145"
"01","수도권","코레일","1호선","1호선","50","관악","온수","역곡","1705","P146"
"01","수도권","코레일","1호선","1호선","50","역곡","관악","소사","1803","146"
"01","수도권","코레일","1호선","1호선","51","소사","역곡","안양","1814","147"
"01","수도권","코레일","1호선","1호선","51","안양","소사","명학","1706","P147"
"01","수도권","코레일","1호선","1호선","52","명학","안양","부천","1707","P148"
"01","수도권","코레일","1호선","1호선","52","부천","명학","금정","1804","148"
"01","수도권","코레일","1호선","1호선","53","금정","부천","중동","1708","P149"
"01","수도권","코레일","1호선","1호선","53","중동","금정","군포","1822","149"
"01","수도권","코레일","1호선","1호선","54","군포","중동","송내","1709","P150"
"01","수도권","코레일","1호선","1호선","54","송내","군포","당정","1805","150"
"01","수도권","코레일","1호선","1호선","55","당정","송내","부개","1729","P151"
"01","수도권","코레일","1호선","1호선","55","부개","당정","부평","1815","151"
"01","수도권","코레일","1호선","1호선","56","부평","부개","의왕","1806","152"
"01","수도권","코레일","1호선","1호선","56","의왕","부평","백운","1710","P152"
"01","수도권","코레일","1호선","1호선","57","백운","의왕","성균관대","1807","153"
"01","수도권","코레일","1호선","1호선","57","성균관대","백운","동암","1711","P153"
"01","수도권","코레일","1호선","1호선","58","동암","성균관대","화서","1808","154"
"01","수도권","코레일","1호선","1호선","58","화서","동암","간석","1712","P154"
"01","수도권","코레일","1호선","1호선","59","간석","화서","수원","1816","155"
"01","수도권","코레일","1호선","1호선","59","수원","간석","세류","1713","P155"
"01","수도권","코레일","1호선","1호선","60","세류","수원","주안","1715","P156"
"01","수도권","코레일","1호선","1호선","60","주안","세류","도화","1809","156"
"01","수도권","코레일","1호선","1호선","61","도화","주안","병점","1823","157"
"01","수도권","코레일","1호선","1호선","61","병점","도화","서동탄","1716","P157"
"01","수도권","코레일","1호선","1호선","62","서동탄","병점","세마","1749","P157-1"
"01","수도권","코레일","1호선","1호선","62","세마","서동탄","제물포","1717","P158"
"01","수도권","코레일","1호선","1호선","62","제물포","세마","도원","1810","158"
"01","수도권","코레일","1호선","1호선","63","도원","제물포","오산대","1817","159"
"01","수도권","코레일","1호선","1호선","63","오산대","도원","동인천","1718","P159"
"01","수도권","코레일","1호선","1호선","64","동인천","오산대","오산","1811","160"
"01","수도권","코레일","1호선","1호선","64","오산","동인천","인천","1719","P160"
"01","수도권","코레일","1호선","1호선","65","인천","오산","진위","1812","161"
"01","수도권","코레일","1호선","1호선","65","진위","인천","송탄","1720","P161"
"01","수도권","코레일","1호선","1호선","66","송탄","진위","서정리","1721","P162"
"01","수도권","코레일","1호선","1호선","67","서정리","송탄","평택지제","1722","P163"
"01","수도권","코레일","1호선","1호선","68","평택지제","서정리","평택","1723","P164"
"01","수도권","코레일","1호선","1호선","69","평택","평택지제","성환","1724","P165"
"01","수도권","코레일","1호선","1호선","70","성환","평택","직산","1725","P166"
"01","수도권","코레일","1호선","1호선","71","직산","성환","두정","1726","P167"
"01","수도권","코레일","1호선","1호선","72","두정","직산","천안","1727","P168"
"01","수도권","코레일","1호선","1호선","73","천안","두정","봉명","1728","P169"
"01","수도권","코레일","1호선","1호선","74","봉명","천안","쌍용(나사렛대)","1401","P170"
"01","수도권","코레일","1호선","1호선","75","쌍용(나사렛대)","봉명","아산","",""
"01","수도권","코레일","1호선","1호선","76","아산","쌍용(나사렛대)","탕정","1403","P172"
"01","수도권","코레일","1호선","1호선","77","탕정","아산","배방","1404","P173"
"01","수도권","코레일","1호선","1호선","78","배방","탕정","온양온천","1405","P174"
"01","수도권","코레일","1호선","1호선","79","온양온천","배방","신창(순천향대)","1407","P176"
"01","수도권","코레일","1호선","1호선","80","신창(순천향대)","온양온천","","",""
"01","수도권","서울교통공사","2호선","2호선","1","시청","","충정로(경기대입구)","0201","201"
"01","수도권","서울교통공사","2호선","2호선","2","충정로(경기대입구)","시청","아현","",""
"01","수도권","서울교통공사","2호선","2호선","3","아현","충정로(경기대입구)","이대","0242","242"
"01","수도권","서울교통공사","2호선","2호선","4","이대","아현","신촌","0241","241"
"01","수도권","서울교통공사","2호선","2호선","5","신촌","이대","홍대입구","0240","240"
"01","수도권","서울교통공사","2호선","2호선","6","홍대입구","신촌","합정","0239","239"
"01","수도권","서울교통공사","2호선","2호선","7","합정","홍대입구","당산","0238","238"
"01","수도권","서울교통공사","2호선","2호선","8","당산","합정","영등포구청","0237","237"
"01","수도권","서울교통공사","2호선","2호선","9","영등포구청","당산","문래","0236","236"
"01","수도권","서울교통공사","2호선","2호선","10","문래","영등포구청","신도림","0235","235"
"01","수도권","서울교통공사","2호선","2호선","11","신도림","문래","대림(구로구청)","0234","234"
"01","수도권","서울교통공사","2호선","2호선","12","대림(구로구청)","신도림","도림천","",""
"01","수도권","서울교통공사","2호선","2호선","12","도림천","대림(구로구청)","구로디지털단지","0247","234-1"
"01","수도권","서울교통공사","2호선","2호선","13","구로디지털단지","도림천","양천구청","0232","232"
"01","수도권","서울교통공사","2호선","2호선","13","양천구청","구로디지털단지","신대방","0248","234-2"
"01","수도권","서울교통공사","2호선","2호선","14","신대방","양천구청","신정네거리","0231","231"
"01","수도권","서울교통공사","2호선","2호선","14","신정네거리","신대방","까치산","0249","234-3"
"01","수도권","서울교통공사","2호선","2호선","15","까치산","신정네거리","신림","0200","234-4"
"01","수도권","서울교통공사","2호선","2호선","15","신림","까치산","봉천","0230","230"
"01","수도권","서울교통공사","2호선","2호선","16","봉천","신림","서울대입구(관악구청)","0229","229"
"01","수도권","서울교통공사","2호선","2호선","17","서울대입구(관악구청)","봉천","낙성대","",""
"01","수도권","서울교통공사","2호선","2호선","18","낙성대","서울대입구(관악구청)","사당","0227","227"
"01","수도권","서울교통공사","2호선","2호선","19","사당","낙성대","방배","0226","226"
"01","수도권","서울교통공사","2호선","2호선","20","방배","사당","서초","0225","225"
"01","수도권","서울교통공사","2호선","2호선","21","서초","방배","교대(법원.검찰청)","0224","224"
"01","수도권","서울교통공사","2호선","2호선","22","교대(법원.검찰청)","서초","강남","",""
"01","수도권","서울교통공사","2호선","2호선","23","강남","교대(법원.검찰청)","역삼","0222","222"
"01","수도권","서울교통공사","2호선","2호선","24","역삼","강남","선릉","0221","221"
"01","수도권","서울교통공사","2호선","2호선","25","선릉","역삼","삼성(무역센터)","0220","220"
"01","수도권","서울교통공사","2호선","2호선","26","삼성(무역센터)","선릉","종합운동장","",""
"01","수도권","서울교통공사","2호선","2호선","27","종합운동장","삼성(무역센터)","잠실새내","0218","218"
"01","수도권","서울교통공사","2호선","2호선","28","잠실새내","종합운동장","잠실(송파구청)","0217","217"
"01","수도권","서울교통공사","2호선","2호선","29","잠실(송파구청)","잠실새내","잠실나루","",""
"01","수도권","서울교통공사","2호선","2호선","30","잠실나루","잠실(송파구청)","강변(동서울터미널)","0215","215"
"01","수도권","서울교통공사","2호선","2호선","31","강변(동서울터미널)","잠실나루","구의(광진구청)","",""
"01","수도권","서울교통공사","2호선","2호선","32","구의(광진구청)","강변(동서울터미널)","건대입구","",""
"01","수도권","서울교통공사","2호선","2호선","33","건대입구","구의(광진구청)","성수","0212","212"
"01","수도권","서울교통공사","2호선","2호선","34","성수","건대입구","뚝섬","0211","211"
"01","수도권","서울교통공사","2호선","2호선","35","뚝섬","성수","용답","0210","210"
"01","수도권","서울교통공사","2호선","2호선","35","용답","뚝섬","신답","0244","211-1"
"01","수도권","서울교통공사","2호선","2호선","36","신답","용답","한양대","0245","211-2"
"01","수도권","서울교통공사","2호선","2호선","36","한양대","신답","왕십리","0209","209"
"01","수도권","서울교통공사","2호선","2호선","37","왕십리","한양대","용두(동대문구청)","0208","208"
"01","수도권","서울교통공사","2호선","2호선","37","용두(동대문구청)","왕십리","상왕십리","",""
"01","수도권","서울교통공사","2호선","2호선","38","상왕십리","용두(동대문구청)","신설동","0207","207"
"01","수도권","서울교통공사","2호선","2호선","38","신설동","상왕십리","신당","0246","211-4"
